AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.08.2020 at 10:56:14 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N5.0 360 M" on Foil "T1_Re1.000_M0.00_N5.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-5.10          Angle of attack for zero Cn for linear Cn curve (deg)
5.93378        Cn slope for zero lift for linear Cn curve (1/rad)
1.2212         Cn at stall value for positive angle of attack for linear Cn curve
-0.6978        Cn at stall value for negative angle of attack for linear Cn curve
-2.50          Angle of attack for minimum CD (deg)
0.0080         Minimum CD value
     78.00    0.7951    1.6571
     79.00    0.7546    1.6692
     80.00    0.7131    1.6803
     81.00    0.6706    1.6904
     82.00    0.6273    1.6995
     83.00    0.5831    1.7075
     84.00    0.5381    1.7145
     85.00    0.4924    1.7204
     86.00    0.4460    1.7253
     87.00    0.3990    1.7291
     88.00    0.3515    1.7319
     89.00    0.3035    1.7336
     90.00    0.2550    1.7342
     91.00    0.2062    1.7337
     92.00    0.1572    1.7321
     93.00    0.1079    1.7295
     94.00    0.0585    1.7258
     95.00    0.0090    1.7211
     96.00   -0.0405    1.7153
     97.00   -0.0900    1.7084
     98.00   -0.1393    1.7005
     99.00   -0.1884    1.6916
    100.00   -0.2372    1.6816
    101.00   -0.2857    1.6707
    102.00   -0.3338    1.6587
    103.00   -0.3813    1.6458
    104.00   -0.4283    1.6319
    105.00   -0.4747    1.6170
    106.00   -0.5204    1.6013
    107.00   -0.5653    1.5846
    108.00   -0.6093    1.5671
    109.00   -0.6525    1.5486
    110.00   -0.6947    1.5294
    111.00   -0.7359    1.5093
    112.00   -0.7760    1.4885
    113.00   -0.8149    1.4669
    114.00   -0.8527    1.4445
    115.00   -0.8891    1.4215
    116.00   -0.9243    1.3977
    117.00   -0.9581    1.3733
    118.00   -0.9904    1.3483
    119.00   -1.0213    1.3228
    120.00   -1.0507    1.2966
    121.00   -1.0786    1.2700
    122.00   -1.1111    1.2428
    123.00   -1.1357    1.2152
    124.00   -1.1586    1.1872
    125.00   -1.1799    1.1588
    126.00   -1.1995    1.1300
    127.00   -1.2173    1.1010
    128.00   -1.2333    1.0716
    129.00   -1.2476    1.0420
    130.00   -1.2601    1.0123
    131.00   -1.2707    0.9823
    132.00   -1.2796    0.9522
    133.00   -1.2866    0.9220
    134.00   -1.2918    0.8918
    135.00   -1.2952    0.8616
    136.00   -1.2968    0.8313
    137.00   -1.2966    0.8012
    138.00   -1.2946    0.7711
    139.00   -1.2909    0.7411
    140.00   -1.2854    0.7114
    141.00   -1.2781    0.6818
    142.00   -1.2692    0.6525
    143.00   -1.2586    0.6234
    144.00   -1.2463    0.5946
    145.00   -1.2325    0.5662
    146.00   -1.2170    0.5382
    147.00   -1.2001    0.5106
    148.00   -1.1817    0.4834
    149.00   -1.1619    0.4568
    150.00   -1.1407    0.4306
    151.00   -1.1183    0.4050
    152.00   -1.0945    0.3799
    153.00   -1.0696    0.3555
    154.00   -1.0435    0.3316
    155.00   -1.0164    0.3085
    156.00   -0.9883    0.2860
    157.00   -0.9593    0.2643
    158.00   -0.9294    0.2432
    159.00   -0.8987    0.2230
    160.00   -0.8674    0.2035
    161.00   -0.8354    0.1849
    162.00   -0.8029    0.1671
    163.00   -0.7700    0.1501
    164.00   -0.7367    0.1340
    165.00   -0.7031    0.1188
    166.00   -0.6693    0.1045
    167.00   -0.6354    0.0911
    168.00   -0.6014    0.0786
    169.00   -0.5675    0.0671
    170.00   -0.5335    0.0566
    171.00   -0.4996    0.0470
    172.00   -0.4658    0.0385
    173.00   -0.4318    0.0309
    174.00   -0.3976    0.0243
    175.00   -0.3626    0.0187
    176.00   -0.3265    0.0141
    177.00   -0.2883    0.0106
    178.00   -0.2468    0.0080
    179.00   -0.2005    0.0065
    180.00   -0.1476    0.0060
    180.00   -0.1476    0.0060
