AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.08.2020 at 10:30:53 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N5.0 360 M" on Foil "T1_Re1.000_M0.00_N5.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
49.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.49          Angle of attack for zero Cn for linear Cn curve (deg)
5.66698        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6720        Cn at stall value for positive angle of attack for linear Cn curve
-0.8326        Cn at stall value for negative angle of attack for linear Cn curve
4.00           Angle of attack for minimum CD (deg)
0.0084         Minimum CD value
   -105.00    0.1183    1.5330
   -104.00    0.1069    1.5466
   -103.00    0.0955    1.5593
   -102.00    0.0843    1.5711
   -101.00    0.0731    1.5820
   -100.00    0.0620    1.5921
    -99.00    0.0510    1.6012
    -98.00    0.0400    1.6094
    -97.00    0.0292    1.6166
    -96.00    0.0184    1.6229
    -95.00    0.0077    1.6282
    -94.00   -0.0030    1.6326
    -93.00   -0.0135    1.6360
    -92.00   -0.0241    1.6384
    -91.00   -0.0345    1.6399
    -90.00   -0.0449    1.6404
    -89.00   -0.0553    1.6399
    -88.00   -0.0656    1.6384
    -87.00   -0.0759    1.6360
    -86.00   -0.0861    1.6326
    -85.00   -0.0963    1.6282
    -84.00   -0.1065    1.6229
    -83.00   -0.1166    1.6166
    -82.00   -0.1267    1.6093
    -81.00   -0.1368    1.6011
    -80.00   -0.1468    1.5920
    -79.00   -0.1569    1.5820
    -78.00   -0.1669    1.5711
    -77.00   -0.1768    1.5592
    -76.00   -0.1868    1.5465
    -75.00   -0.1967    1.5329
    -74.00   -0.2066    1.5185
    -73.00   -0.2165    1.5032
    -72.00   -0.2263    1.4871
    -71.00   -0.2360    1.4702
    -70.00   -0.2457    1.4525
    -69.00   -0.2554    1.4341
    -68.00   -0.2650    1.4150
    -67.00   -0.2744    1.3951
    -66.00   -0.2838    1.3745
    -65.00   -0.2931    1.3533
    -64.00   -0.3023    1.3314
    -63.00   -0.3114    1.3090
    -62.00   -0.3203    1.2859
    -61.00   -0.3290    1.2622
    -60.00   -0.3376    1.2381
    -59.00   -0.3460    1.2134
    -58.00   -0.3541    1.1882
    -57.00   -0.3621    1.1626
    -56.00   -0.3698    1.1366
    -55.00   -0.3773    1.1102
    -54.00   -0.3844    1.0835
    -53.00   -0.3913    1.0564
    -52.00   -0.3979    1.0290
    -51.00   -0.4041    1.0014
    -50.00   -0.4100    0.9735
    -49.00   -0.4155    0.9455
    -48.00   -0.4206    0.9173
    -47.00   -0.4252    0.8890
    -46.00   -0.4295    0.8605
    -45.00   -0.4333    0.8320
    -44.00   -0.4366    0.8035
    -43.00   -0.4394    0.7750
    -42.00   -0.4417    0.7466
    -41.00   -0.4435    0.7182
    -40.00   -0.4447    0.6899
    -39.00   -0.4455    0.6618
    -38.00   -0.4456    0.6338
    -37.00   -0.4452    0.6060
    -36.00   -0.4443    0.5785
    -35.00   -0.4427    0.5512
    -34.00   -0.4407    0.5243
    -33.00   -0.4381    0.4976
    -32.00   -0.4351    0.4713
    -31.00   -0.4316    0.4454
    -30.00   -0.4278    0.4198
    -29.00   -0.4238    0.3946
    -28.00   -0.4197    0.3699
    -27.00   -0.4157    0.3455
    -26.00   -0.4123    0.3215
    -25.00   -0.4098    0.2978
    -24.00   -0.4091    0.2744
    -23.00   -0.4113    0.2512
    -22.00   -0.4181    0.2278
    -21.00   -0.4321    0.2041
    -20.00   -0.4574    0.1795
    -19.00   -0.4998    0.1533
    -18.00   -0.5657    0.1250
    -17.00   -0.6586    0.0944
    -16.00   -0.7665    0.0636
    -15.00   -0.8519    0.0377
    -14.50   -0.6825    0.0449
    -14.00   -0.7338    0.0307
    -13.50   -0.7519    0.0258
    -13.00   -0.7559    0.0231
    -12.50   -0.7273    0.0207
    -11.50   -0.6605    0.0174
    -11.00   -0.6253    0.0162
    -10.50   -0.5895    0.0153
    -10.00   -0.5493    0.0145
     -9.50   -0.5065    0.0137
     -9.00   -0.4593    0.0129
     -8.50   -0.4107    0.0122
     -8.00   -0.3426    0.0143
     -7.50   -0.2940    0.0149
     -7.00   -0.2416    0.0151
     -6.50   -0.1943    0.0153
     -4.00    0.0475    0.0120
     -3.50    0.0957    0.0110
     -3.00    0.1466    0.0105
     -2.50    0.1992    0.0102
     -2.00    0.2525    0.0100
     -1.50    0.3059    0.0099
     -1.00    0.3594    0.0099
     -0.50    0.4126    0.0099
      0.00    0.4655    0.0099
      0.50    0.5181    0.0099
      1.00    0.5702    0.0099
      1.50    0.6218    0.0100
      2.00    0.6759    0.0099
      2.50    0.7250    0.0095
      3.00    0.7741    0.0093
      3.50    0.8224    0.0092
      4.00    0.8580    0.0084
      4.50    0.9493    0.0094
      5.00    1.0043    0.0100
      5.50    1.0332    0.0105
      6.00    1.0562    0.0109
      6.50    1.0875    0.0114
      7.00    1.1207    0.0118
      7.50    1.1551    0.0123
      8.00    1.1877    0.0127
      8.50    1.2109    0.0134
      9.00    1.2264    0.0148
     10.00    1.2197    0.0198
     10.50    1.2371    0.0218
     11.00    1.2484    0.0240
     11.50    1.2639    0.0262
     12.00    1.2820    0.0284
     12.50    1.2771    0.0325
     13.00    1.2917    0.0351
     13.50    1.3065    0.0379
     14.00    1.2909    0.0444
     14.50    1.2975    0.0486
     15.00    1.3171    0.0513
     16.00    1.2824    0.0664
     16.50    1.2821    0.0717
     17.00    1.2101    0.0878
     17.50    1.2109    0.0933
     18.00    1.2084    0.0994
     18.50    1.0713    0.1288
     19.00    1.0809    0.1330
     19.50    1.0902    0.1371
     20.00    1.0987    0.1412
     20.50    1.1054    0.1454
     21.00    1.1094    0.1494
     21.50    1.1064    0.1549
     22.00    1.0780    0.1666
     23.00    1.1156    0.2325
     24.00    1.1122    0.2574
     25.00    1.1125    0.2828
     26.00    1.1160    0.3087
     27.00    1.1220    0.3351
     28.00    1.1301    0.3620
     29.00    1.1398    0.3893
     30.00    1.1509    0.4170
     31.00    1.1628    0.4452
     32.00    1.1753    0.4737
     33.00    1.1882    0.5027
     34.00    1.2013    0.5320
     35.00    1.2143    0.5616
     36.00    1.2272    0.5915
     37.00    1.2396    0.6217
     38.00    1.2516    0.6521
     39.00    1.2630    0.6828
     40.00    1.2737    0.7136
     41.00    1.2835    0.7447
     42.00    1.2926    0.7758
     43.00    1.3006    0.8070
     44.00    1.3076    0.8383
     45.00    1.3136    0.8696
     46.00    1.3184    0.9009
     47.00    1.3221    0.9321
     48.00    1.3245    0.9633
     49.00    1.3257    0.9943
     50.00    1.3256    1.0252
     51.00    1.3241    1.0559
     52.00    1.3213    1.0863
     53.00    1.3171    1.1165
     54.00    1.3116    1.1464
     55.00    1.3046    1.1760
     56.00    1.2961    1.2052
     57.00    1.2863    1.2340
     58.00    1.2749    1.2624
     59.00    1.2622    1.2903
     60.00    1.2479    1.3177
     61.00    1.2323    1.3445
     62.00    1.2151    1.3708
     63.00    1.1966    1.3964
     64.00    1.1765    1.4215
     65.00    1.1551    1.4458
     66.00    1.1323    1.4695
     67.00    1.1080    1.4924
     68.00    1.0824    1.5146
     69.00    1.0554    1.5360
     70.00    1.0271    1.5566
     71.00    0.9975    1.5764
     72.00    0.9666    1.5953
     73.00    0.9345    1.6133
     74.00    0.9012    1.6304
     75.00    0.8667    1.6466
     76.00    0.8310    1.6618
     77.00    0.7943    1.6761
     78.00    0.7565    1.6894
     79.00    0.7178    1.7017
     80.00    0.6780    1.7130
     81.00    0.6374    1.7232
     82.00    0.5958    1.7325
     83.00    0.5535    1.7406
     84.00    0.5104    1.7477
     85.00    0.4666    1.7538
     86.00    0.4222    1.7587
     87.00    0.3772    1.7626
     88.00    0.3317    1.7654
     89.00    0.2857    1.7670
     90.00    0.2393    1.7676
     91.00    0.1925    1.7671
     92.00    0.1455    1.7655
     93.00    0.0983    1.7628
     94.00    0.0510    1.7591
     95.00    0.0035    1.7542
     96.00   -0.0439    1.7483
     97.00   -0.0913    1.7413
     98.00   -0.1386    1.7332
     99.00   -0.1856    1.7241
    100.00   -0.2324    1.7139
    101.00   -0.2789    1.7027
    102.00   -0.3250    1.6905
    103.00   -0.3706    1.6773
    104.00   -0.4157    1.6632
    105.00   -0.4601    1.6480
    106.00   -0.5040    1.6319
    107.00   -0.5470    1.6149
    108.00   -0.5893    1.5970
    109.00   -0.6308    1.5783
    110.00   -0.6713    1.5586
    111.00   -0.7108    1.5382
    112.00   -0.7493    1.5169
    113.00   -0.7867    1.4949
    114.00   -0.8230    1.4721
    115.00   -0.8581    1.4486
    116.00   -0.8919    1.4244
    117.00   -0.9244    1.3995
    118.00   -0.9555    1.3740
    119.00   -0.9853    1.3479
    120.00   -1.0136    1.3213
    121.00   -1.0404    1.2941
    122.00   -1.0657    1.2664
    123.00   -1.0895    1.2383
    124.00   -1.1116    1.2097
    125.00   -1.1322    1.1808
    126.00   -1.1567    1.1515
    127.00   -1.1740    1.1219
    128.00   -1.1896    1.0919
    129.00   -1.2035    1.0618
    130.00   -1.2157    1.0314
    131.00   -1.2261    1.0009
    132.00   -1.2348    0.9702
    133.00   -1.2418    0.9395
    134.00   -1.2470    0.9087
    135.00   -1.2505    0.8778
    136.00   -1.2523    0.8470
    137.00   -1.2523    0.8163
    138.00   -1.2506    0.7856
    139.00   -1.2472    0.7551
    140.00   -1.2421    0.7247
    141.00   -1.2353    0.6946
    142.00   -1.2269    0.6647
    143.00   -1.2169    0.6351
    144.00   -1.2053    0.6058
    145.00   -1.1922    0.5768
    146.00   -1.1775    0.5483
    147.00   -1.1613    0.5202
    148.00   -1.1438    0.4925
    149.00   -1.1248    0.4653
    150.00   -1.1045    0.4386
    151.00   -1.0829    0.4125
    152.00   -1.0601    0.3870
    153.00   -1.0361    0.3621
    154.00   -1.0109    0.3378
    155.00   -0.9847    0.3142
    156.00   -0.9575    0.2913
    157.00   -0.9293    0.2691
    158.00   -0.9003    0.2477
    159.00   -0.8705    0.2271
    160.00   -0.8399    0.2072
    161.00   -0.8086    0.1882
    162.00   -0.7768    0.1701
    163.00   -0.7444    0.1528
    164.00   -0.7115    0.1364
    165.00   -0.6783    0.1209
    166.00   -0.6447    0.1063
    167.00   -0.6108    0.0927
    168.00   -0.5767    0.0800
    169.00   -0.5424    0.0683
    170.00   -0.5080    0.0576
    171.00   -0.4735    0.0478
    172.00   -0.4388    0.0391
    173.00   -0.4040    0.0313
    174.00   -0.3688    0.0246
    175.00   -0.3331    0.0189
    176.00   -0.2967    0.0143
    177.00   -0.2591    0.0107
    178.00   -0.2197    0.0081
    179.00   -0.1777    0.0065
    180.00   -0.1321    0.0060
    180.00   -0.1321    0.0060
