AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.08.2020 at 10:40:52 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N5.0 360 M" on Foil "T1_Re1.000_M0.00_N5.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.53          Angle of attack for zero Cn for linear Cn curve (deg)
6.28279        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8472        Cn at stall value for positive angle of attack for linear Cn curve
-0.8636        Cn at stall value for negative angle of attack for linear Cn curve
2.00           Angle of attack for minimum CD (deg)
0.0070         Minimum CD value
   -108.00    0.1960    1.5137
   -107.00    0.1816    1.5301
   -106.00    0.1671    1.5457
   -105.00    0.1527    1.5605
   -104.00    0.1382    1.5744
   -103.00    0.1238    1.5874
   -102.00    0.1094    1.5995
   -101.00    0.0950    1.6107
   -100.00    0.0806    1.6209
    -99.00    0.0662    1.6303
    -98.00    0.0519    1.6386
    -97.00    0.0377    1.6460
    -96.00    0.0235    1.6525
    -95.00    0.0093    1.6579
    -94.00   -0.0048    1.6624
    -93.00   -0.0188    1.6659
    -92.00   -0.0328    1.6684
    -91.00   -0.0467    1.6699
    -90.00   -0.0605    1.6704
    -89.00   -0.0742    1.6699
    -88.00   -0.0879    1.6684
    -87.00   -0.1014    1.6659
    -86.00   -0.1149    1.6624
    -85.00   -0.1283    1.6579
    -84.00   -0.1416    1.6525
    -83.00   -0.1548    1.6460
    -82.00   -0.1679    1.6386
    -81.00   -0.1809    1.6302
    -80.00   -0.1938    1.6209
    -79.00   -0.2065    1.6106
    -78.00   -0.2192    1.5995
    -77.00   -0.2317    1.5873
    -76.00   -0.2441    1.5743
    -75.00   -0.2563    1.5604
    -74.00   -0.2684    1.5457
    -73.00   -0.2804    1.5301
    -72.00   -0.2922    1.5136
    -71.00   -0.3038    1.4963
    -70.00   -0.3152    1.4783
    -69.00   -0.3264    1.4595
    -68.00   -0.3375    1.4399
    -67.00   -0.3483    1.4196
    -66.00   -0.3589    1.3986
    -65.00   -0.3693    1.3769
    -64.00   -0.3795    1.3545
    -63.00   -0.3893    1.3316
    -62.00   -0.3989    1.3080
    -61.00   -0.4083    1.2839
    -60.00   -0.4173    1.2592
    -59.00   -0.4260    1.2340
    -58.00   -0.4344    1.2083
    -57.00   -0.5536    0.4636
    -56.50   -0.5590    0.4644
    -56.00   -0.5640    0.4633
    -55.50   -0.5691    0.4634
    -55.00   -0.5741    0.4632
    -54.50   -0.5790    0.4629
    -54.00   -0.5839    0.4620
    -53.50   -0.5888    0.4628
    -53.00   -0.5933    0.4636
    -52.50   -0.5975    0.4641
    -52.00   -0.6016    0.4641
    -51.50   -0.6054    0.4637
    -51.00   -0.6090    0.4626
    -50.50   -0.6123    0.4613
    -50.00   -0.6155    0.4599
    -49.50   -0.6185    0.4583
    -49.00   -0.6213    0.4565
    -48.50   -0.6238    0.4546
    -48.00   -0.6262    0.4524
    -47.50   -0.6282    0.4500
    -47.00   -0.6301    0.4473
    -46.50   -0.6317    0.4445
    -46.00   -0.6330    0.4414
    -45.50   -0.6341    0.4381
    -45.00   -0.6349    0.4345
    -44.50   -0.6354    0.4307
    -44.00   -0.6358    0.4270
    -43.50   -0.6358    0.4232
    -43.00   -0.6357    0.4194
    -42.50   -0.6352    0.4154
    -42.00   -0.6345    0.4113
    -41.50   -0.6335    0.4070
    -41.00   -0.6322    0.4025
    -40.50   -0.6307    0.3978
    -40.00   -0.6289    0.3928
    -39.50   -0.6268    0.3877
    -39.00   -0.6245    0.3835
    -38.50   -0.6218    0.3793
    -38.00   -0.6187    0.3739
    -37.50   -0.6154    0.3677
    -37.00   -0.6122    0.3629
    -36.50   -0.6085    0.3586
    -36.00   -0.6044    0.3540
    -35.50   -0.5999    0.3491
    -35.00   -0.5953    0.3439
    -34.50   -0.5902    0.3383
    -34.00   -0.5848    0.3323
    -33.50   -0.5794    0.3264
    -33.00   -0.5739    0.3207
    -32.50   -0.5680    0.3152
    -32.00   -0.5621    0.3096
    -31.50   -0.5555    0.3048
    -31.00   -0.5485    0.2997
    -30.50   -0.5413    0.2947
    -30.00   -0.5337    0.2896
    -29.50   -0.5260    0.2842
    -29.00   -0.5181    0.2788
    -28.50   -0.5099    0.2734
    -28.00   -0.5015    0.2680
    -27.50   -0.4928    0.2625
    -27.00   -0.4840    0.2570
    -26.50   -0.4749    0.2515
    -26.00   -0.8084    0.3126
    -25.50   -0.7923    0.3069
    -25.00   -0.7764    0.2988
    -24.50   -0.7604    0.2914
    -24.00   -0.7439    0.2852
    -23.50   -0.7290    0.2762
    -23.00   -0.7119    0.2709
    -22.50   -0.6947    0.2654
    -22.00   -0.6775    0.2597
    -21.50   -0.6608    0.2533
    -21.00   -0.6447    0.2465
    -15.50   -1.1609    0.0324
    -15.00   -1.1588    0.0290
    -14.50   -1.1436    0.0266
    -14.00   -1.1173    0.0247
    -13.50   -1.0602    0.0239
    -13.00   -1.0009    0.0232
    -12.50   -0.9412    0.0226
    -12.00   -0.8841    0.0220
    -11.50   -0.8281    0.0213
    -11.00   -0.7743    0.0204
    -10.50   -0.7226    0.0197
    -10.00   -0.6707    0.0193
     -9.50   -0.6215    0.0183
     -9.00   -0.5767    0.0163
     -8.50   -0.5309    0.0143
     -8.00   -0.4815    0.0131
     -7.50   -0.4299    0.0122
     -7.00   -0.3770    0.0115
     -6.50   -0.3241    0.0108
     -6.00   -0.2703    0.0102
     -5.50   -0.2161    0.0097
     -5.00   -0.1617    0.0094
     -4.50   -0.1069    0.0091
     -4.00   -0.0517    0.0089
     -3.50    0.0036    0.0088
     -3.00    0.0588    0.0086
     -2.50    0.1135    0.0084
     -2.00    0.1684    0.0083
     -1.50    0.2239    0.0082
     -1.00    0.2792    0.0081
     -0.50    0.3334    0.0080
      0.00    0.3873    0.0078
      0.50    0.4411    0.0077
      1.00    0.4951    0.0077
      1.50    0.5471    0.0075
      2.00    0.5937    0.0070
      2.50    0.6437    0.0070
      3.00    0.7146    0.0074
      3.50    0.7752    0.0078
      4.00    0.8245    0.0081
      5.00    0.9263    0.0087
      5.50    0.9772    0.0091
      6.00    1.0272    0.0095
      6.50    1.0695    0.0105
      7.00    1.1122    0.0115
      7.50    1.1564    0.0124
      8.00    1.2016    0.0131
      8.50    1.2440    0.0140
      9.00    1.2766    0.0155
      9.50    1.3146    0.0164
     10.00    1.3514    0.0173
     10.50    1.3853    0.0183
     11.00    1.4153    0.0196
     11.50    1.4424    0.0212
     12.00    1.4714    0.0226
     12.50    1.4975    0.0243
     13.00    1.5207    0.0264
     13.50    1.5406    0.0288
     14.00    1.5566    0.0317
     14.50    1.5690    0.0351
     15.00    1.5764    0.0392
     15.50    1.5775    0.0442
     16.00    1.5704    0.0505
     16.50    1.5537    0.0586
     17.00    1.5426    0.0664
     17.50    1.5277    0.0751
     18.00    1.5082    0.0849
     18.50    1.4832    0.0958
     19.00    1.4548    0.1077
     19.50    1.4251    0.1200
     20.00    1.3979    0.1322
     20.50    1.3709    0.1447
     21.00    1.3489    0.1566
     21.50    1.3300    0.1684
     22.00    1.3135    0.1801
     22.50    1.2993    0.1917
     23.00    1.2876    0.2030
     23.50    1.2777    0.2142
     24.00    1.2687    0.2257
     24.50    1.2667    0.2355
     25.00    1.2601    0.2471
     25.50    1.2645    0.2552
     26.00    1.2685    0.2636
     26.50    1.2666    0.2744
     27.00    1.2633    0.2865
     27.50    1.2567    0.3011
     28.00    1.2284    0.3476
     28.50    1.2417    0.3541
     29.00    1.2550    0.3604
     29.50    1.2680    0.3661
     30.00    1.2804    0.3710
     30.50    1.2923    0.3754
     31.00    1.3037    0.3794
     31.50    1.3162    0.3864
     32.00    1.3270    0.3907
     32.50    1.3398    0.3981
     33.00    1.3512    0.4039
     33.50    1.3618    0.4090
     34.00    1.3715    0.4134
     35.00    1.2506    0.5490
     36.00    1.2553    0.5799
     37.00    1.2603    0.6109
     38.00    1.2655    0.6422
     39.00    1.2707    0.6736
     40.00    1.2758    0.7052
     41.00    1.2805    0.7369
     42.00    1.2849    0.7686
     43.00    1.2887    0.8004
     44.00    1.2918    0.8322
     45.00    1.2943    0.8640
     46.00    1.2959    0.8958
     47.00    1.2966    0.9275
     48.00    1.2964    0.9590
     49.00    1.2952    0.9905
     50.00    1.2929    1.0217
     51.00    1.2896    1.0527
     52.00    1.2850    1.0835
     53.00    1.2793    1.1140
     54.00    1.2724    1.1441
     55.00    1.2643    1.1740
     56.00    1.2549    1.2034
     57.00    1.2442    1.2324
     58.00    1.2322    1.2610
     59.00    1.2189    1.2890
     60.00    1.2043    1.3166
     61.00    1.1884    1.3436
     62.00    1.1712    1.3700
     63.00    1.1526    1.3958
     64.00    1.1328    1.4209
     65.00    1.1116    1.4454
     66.00    1.0891    1.4692
     67.00    1.0654    1.4922
     68.00    1.0404    1.5145
     69.00    1.0141    1.5359
     70.00    0.9866    1.5566
     71.00    0.9579    1.5764
     72.00    0.9280    1.5954
     73.00    0.8969    1.6135
     74.00    0.8648    1.6307
     75.00    0.8315    1.6469
     76.00    0.7972    1.6622
     77.00    0.7619    1.6765
     78.00    0.7256    1.6899
     79.00    0.6883    1.7022
     80.00    0.6502    1.7135
     81.00    0.6112    1.7239
     82.00    0.5714    1.7331
     83.00    0.5309    1.7413
     84.00    0.4896    1.7485
     85.00    0.4477    1.7545
     86.00    0.4052    1.7595
     87.00    0.3622    1.7634
     88.00    0.3186    1.7663
     89.00    0.2747    1.7680
     90.00    0.2303    1.7686
     91.00    0.1857    1.7682
     92.00    0.1408    1.7666
     93.00    0.0957    1.7640
     94.00    0.0505    1.7603
     95.00    0.0052    1.7555
     96.00   -0.0401    1.7496
     97.00   -0.0853    1.7426
     98.00   -0.1304    1.7346
     99.00   -0.1753    1.7255
    100.00   -0.2200    1.7154
    101.00   -0.2643    1.7043
    102.00   -0.3083    1.6922
    103.00   -0.3518    1.6790
    104.00   -0.3948    1.6649
    105.00   -0.4372    1.6499
    106.00   -0.4790    1.6338
    107.00   -0.5201    1.6169
    108.00   -0.5604    1.5991
    109.00   -0.5999    1.5804
    110.00   -0.6386    1.5608
    111.00   -0.6763    1.5404
    112.00   -0.7130    1.5192
    113.00   -0.7487    1.4972
    114.00   -0.7833    1.4745
    115.00   -0.8168    1.4510
    116.00   -0.8490    1.4269
    117.00   -0.8800    1.4021
    118.00   -0.9098    1.3766
    119.00   -0.9382    1.3506
    120.00   -0.9652    1.3240
    121.00   -0.9908    1.2969
    122.00   -1.0150    1.2692
    123.00   -1.0377    1.2411
    124.00   -1.0588    1.2126
    125.00   -1.0785    1.1837
    126.00   -1.0966    1.1544
    127.00   -1.1130    1.1248
    128.00   -1.1279    1.0949
    129.00   -1.1412    1.0648
    130.00   -1.1528    1.0344
    131.00   -1.1627    1.0039
    132.00   -1.1710    0.9732
    133.00   -1.1776    0.9425
    134.00   -1.1826    0.9116
    135.00   -1.1858    0.8808
    136.00   -1.1874    0.8500
    137.00   -1.1874    0.8192
    138.00   -1.1857    0.7885
    139.00   -1.1823    0.7580
    140.00   -1.1773    0.7276
    141.00   -1.1707    0.6974
    142.00   -1.1625    0.6675
    143.00   -1.1528    0.6378
    144.00   -1.1415    0.6084
    145.00   -1.1287    0.5794
    146.00   -1.1145    0.5508
    147.00   -1.0987    0.5226
    148.00   -1.0816    0.4949
    149.00   -1.0631    0.4676
    150.00   -1.0433    0.4408
    151.00   -1.0222    0.4146
    152.00   -0.9999    0.3890
    153.00   -0.9764    0.3640
    154.00   -0.9517    0.3397
    155.00   -0.9260    0.3160
    156.00   -0.8992    0.2930
    157.00   -0.8715    0.2707
    158.00   -0.8429    0.2492
    159.00   -0.8133    0.2285
    160.00   -0.7830    0.2085
    161.00   -0.7520    0.1894
    162.00   -0.7202    0.1712
    163.00   -0.6879    0.1538
    164.00   -0.6550    0.1373
    165.00   -0.6215    0.1217
    166.00   -0.5877    0.1070
    167.00   -0.5535    0.0933
    168.00   -0.5190    0.0806
    169.00   -0.4843    0.0688
    170.00   -0.4494    0.0580
    171.00   -0.4143    0.0481
    172.00   -0.3793    0.0393
    173.00   -0.3442    0.0316
    174.00   -0.3092    0.0248
    175.00   -0.2743    0.0191
    176.00   -0.2397    0.0144
    177.00   -0.2052    0.0107
    178.00   -0.1711    0.0081
    179.00   -0.1374    0.0065
    180.00   -0.1040    0.0060
    180.00   -0.1054    0.0060
